transaction_id,timestamp,customer_id,amount_aed,transaction_type,merchant_category,channel,city,country,device_id,high_amount_flag,is_fraud
T0007438,03-03-2025 21:14,C00347,173.85,ATM,Restaurants,Web,Dubai,AE,DEV786394,0,0
T0004305,03-03-2025 21:15,C00831,79.83,POS,Travel,Mobile,Sharjah,AE,DEV254304,0,0
T0006547,03-03-2025 23:27,C00083,78.32,ONLINE,Utilities,Branch,Dubai,AE,DEV949980,0,0
T0006887,04-03-2025 00:02,C00239,359.67,ONLINE,Utilities,Web,Abu Dhabi,AE,DEV496657,0,0
T0003042,04-03-2025 00:20,C00550,286.29,POS,Utilities,Mobile,Dubai,AE,DEV241770,0,0
T0005123,04-03-2025 00:48,C00910,122.27,POS,Restaurants,Branch,Dubai,AE,DEV805651,0,0
T0008745,04-03-2025 01:20,C00816,1826.37,POS,Grocery,Web,Dubai,OM,DEV553471,0,0
T0009474,04-03-2025 01:38,C00419,160.1,POS,Travel,Web,Abu Dhabi,AE,DEV128498,0,0
T0007666,04-03-2025 02:07,C00323,75.08,POS,Restaurants,Mobile,Dubai,AE,DEV397975,0,0
T0004236,04-03-2025 02:29,C00644,83.68,POS,Restaurants,Web,Abu Dhabi,AE,DEV979511,0,0
T0005296,04-03-2025 02:31,C00918,85.11,ONLINE,Entertainment,ATM,Dubai,AE,DEV836789,0,0
T0006792,04-03-2025 02:57,C00297,138.58,ATM,Healthcare,Mobile,Abu Dhabi,AE,DEV711290,0,0
T0001046,04-03-2025 03:08,C00381,318.77,TRANSFER_OUT,Restaurants,Mobile,Dubai,AE,DEV767153,0,0
T0000115,04-03-2025 03:43,C00773,249.67,POS,Fuel,Mobile,Abu Dhabi,AE,DEV189074,0,0
T0001052,04-03-2025 03:44,C00896,86.93,ONLINE,Electronics,Web,Dubai,AE,DEV245148,0,0
T0004277,04-03-2025 03:48,C00961,297.63,ATM,Fashion,Mobile,Dubai,AE,DEV973702,0,0
T0008321,04-03-2025 03:51,C00208,190.05,ONLINE,Restaurants,Web,Dubai,AE,DEV156953,0,0
T0009487,04-03-2025 04:26,C00248,95.81,POS,Fuel,Mobile,Dubai,AE,DEV518322,0,0
T0001488,04-03-2025 04:37,C00497,210.88,POS,Grocery,Mobile,Dubai,AE,DEV602181,0,0
T0009976,04-03-2025 04:37,C00639,300.21,ONLINE,Fuel,Web,Sharjah,AE,DEV751629,0,0
T0004851,04-03-2025 04:45,C00689,1205.16,ATM,Education,ATM,Dubai,AE,DEV454797,0,0
T0001460,04-03-2025 05:03,C00907,64.33,ONLINE,Electronics,ATM,Ajman,AE,DEV787736,0,0
T0001010,04-03-2025 05:41,C00698,266.41,BILL_PAYMENT,Education,Mobile,Umm Al Quwain,AE,DEV834260,0,0
T0008521,04-03-2025 05:59,C00424,168.66,ONLINE,Restaurants,Mobile,Sharjah,AE,DEV329176,0,1
T0005916,04-03-2025 06:02,C00154,162.88,BILL_PAYMENT,Healthcare,Branch,Dubai,AE,DEV396707,0,0
T0003380,04-03-2025 06:35,C00042,144.6,ATM,Healthcare,Web,Abu Dhabi,AE,DEV254926,0,0
T0007368,04-03-2025 07:02,C00990,919.78,TRANSFER_OUT,Utilities,Web,Dubai,AE,DEV275651,0,0
T0004514,04-03-2025 07:02,C00672,78.71,TRANSFER_OUT,Utilities,Web,Ras Al Khaimah,AE,DEV933545,0,0
T0004536,04-03-2025 07:11,C00121,579.98,ONLINE,Electronics,Web,Sharjah,QA,DEV712774,0,0
T0000089,04-03-2025 07:19,C00062,821.16,POS,Travel,Web,Sharjah,AE,DEV285471,0,0
T0009919,04-03-2025 07:44,C00883,603.52,TRANSFER_OUT,Utilities,Mobile,Dubai,AE,DEV528112,0,0
T0006119,04-03-2025 07:58,C00682,16.68,POS,Grocery,Mobile,Abu Dhabi,IN,DEV163702,0,0
T0002939,04-03-2025 08:10,C00143,26.59,ATM,Grocery,Mobile,Abu Dhabi,SA,DEV181242,0,0
T0001118,04-03-2025 09:28,C00053,2138.21,POS,Fuel,Mobile,Ajman,AE,DEV962394,0,0
T0001075,04-03-2025 10:52,C00588,562.93,BILL_PAYMENT,Grocery,POS,Sharjah,AE,DEV643767,0,0
T0009035,04-03-2025 11:01,C00699,74.99,ONLINE,Restaurants,Mobile,Abu Dhabi,AE,DEV304384,0,0
T0009068,04-03-2025 11:01,C00408,186.34,POS,Electronics,Branch,Sharjah,US,DEV648889,0,0
T0006615,04-03-2025 11:04,C00451,139.76,ONLINE,Education,Mobile,Abu Dhabi,AE,DEV238306,0,0
T0006534,04-03-2025 11:13,C00625,192.1,BILL_PAYMENT,Travel,Mobile,Dubai,AE,DEV953150,0,0
T0009091,04-03-2025 11:20,C00085,326.31,POS,Utilities,Web,Dubai,AE,DEV451685,0,0
T0009445,04-03-2025 12:05,C00191,285.53,ONLINE,Utilities,Mobile,Ras Al Khaimah,AE,DEV845461,0,0
T0000900,04-03-2025 12:15,C00213,18.01,POS,Entertainment,Web,Sharjah,AE,DEV894069,0,0
T0000571,04-03-2025 13:05,C00855,518.34,TRANSFER_OUT,Restaurants,Mobile,Fujairah,SA,DEV112336,0,0
T0006146,04-03-2025 13:20,C00879,570.1,ONLINE,Travel,Mobile,Dubai,AE,DEV525589,0,0
T0001613,04-03-2025 13:55,C00191,169.91,TRANSFER_IN,Utilities,Mobile,Ras Al Khaimah,AE,DEV316298,0,0
T0007108,04-03-2025 14:37,C00202,22.13,POS,Education,Web,Fujairah,AE,DEV218371,0,0
T0002799,04-03-2025 14:38,C00554,410.59,POS,Restaurants,Mobile,Sharjah,AE,DEV175177,0,0
T0001900,04-03-2025 14:50,C00805,49.99,POS,Electronics,Web,Dubai,AE,DEV356650,0,0
T0003437,04-03-2025 14:50,C00543,257.65,ATM,Travel,Web,Fujairah,AE,DEV254299,0,0
T0002583,04-03-2025 15:42,C00913,243.72,ONLINE,Education,Mobile,Dubai,AE,DEV219876,0,0
T0009075,04-03-2025 16:40,C00640,161.71,ONLINE,Fashion,Web,Sharjah,AE,DEV197326,0,0
T0006706,04-03-2025 17:33,C00036,121.35,ONLINE,Entertainment,Web,Abu Dhabi,PK,DEV629983,0,1
T0001482,04-03-2025 17:34,C00554,34.83,ONLINE,Education,Mobile,Sharjah,AE,DEV701903,0,0
T0009466,04-03-2025 18:50,C00260,619.62,ATM,Entertainment,Web,Abu Dhabi,AE,DEV220150,0,0
T0005818,04-03-2025 19:10,C00865,233.5,POS,Travel,Mobile,Ajman,AE,DEV798784,0,0
T0005726,04-03-2025 19:24,C00997,455.52,ONLINE,Utilities,Web,Abu Dhabi,AE,DEV689177,0,0
T0006455,04-03-2025 19:25,C00592,2635.69,ATM,Travel,Web,Dubai,AE,DEV140847,0,0
T0006254,04-03-2025 20:11,C00007,443.68,ATM,Travel,Mobile,Abu Dhabi,AE,DEV186372,0,0
T0009294,04-03-2025 21:22,C00344,164.76,ONLINE,Fashion,Web,Dubai,AE,DEV372016,0,0
T0008892,04-03-2025 21:33,C00132,60.61,POS,Education,Mobile,Abu Dhabi,AE,DEV458234,0,0
T0008902,04-03-2025 22:19,C00336,374.79,ATM,Travel,Web,Abu Dhabi,AE,DEV395564,0,0
T0005889,04-03-2025 22:39,C00557,456.11,TRANSFER_IN,Education,ATM,Ajman,SA,DEV735996,0,0
T0007473,04-03-2025 22:52,C00951,85.92,POS,Grocery,Mobile,Dubai,AE,DEV606913,0,0
T0000786,04-03-2025 23:22,C00115,290.62,POS,Utilities,ATM,Fujairah,AE,DEV430219,0,0
T0002546,04-03-2025 23:32,C00943,646.63,POS,Healthcare,Mobile,Sharjah,AE,DEV411463,0,0
T0002548,04-03-2025 23:58,C00298,129.32,ATM,Fashion,ATM,Dubai,AE,DEV129022,0,0
T0000693,05-03-2025 00:05,C00740,108.34,TRANSFER_IN,Travel,POS,Dubai,AE,DEV973347,0,0
T0001944,05-03-2025 00:06,C00457,773.58,POS,Travel,Mobile,Dubai,AE,DEV701035,0,0
T0004232,05-03-2025 00:47,C00848,132.82,ONLINE,Travel,Web,Ajman,AE,DEV742082,0,0
T0003022,05-03-2025 01:33,C00042,303.95,POS,Travel,ATM,Abu Dhabi,AE,DEV665140,0,0
T0003079,05-03-2025 01:51,C00922,118.89,ONLINE,Fuel,ATM,Dubai,UK,DEV543174,0,0
T0004803,05-03-2025 02:34,C00669,301.23,ATM,Entertainment,Web,Abu Dhabi,AE,DEV571847,0,0
T0009274,05-03-2025 03:03,C00529,245.35,ATM,Electronics,Branch,Dubai,AE,DEV271009,0,1
T0002620,05-03-2025 03:34,C00740,377.47,ONLINE,Education,Mobile,Dubai,IN,DEV905137,0,1
T0002393,05-03-2025 03:51,C00628,155.15,POS,Education,Web,Abu Dhabi,UK,DEV296606,0,0
T0004274,05-03-2025 03:57,C00158,587.9,ONLINE,Entertainment,Web,Dubai,AE,DEV792533,0,0
T0007025,05-03-2025 04:18,C00069,398.93,POS,Restaurants,Mobile,Abu Dhabi,AE,DEV836442,0,0
T0001392,05-03-2025 05:00,C00862,127,ONLINE,Healthcare,Web,Sharjah,AE,DEV252543,0,1
T0005829,05-03-2025 05:13,C00624,193.14,POS,Travel,Mobile,Dubai,SA,DEV465024,0,0
T0002578,05-03-2025 05:56,C00150,2634.4,ONLINE,Fuel,ATM,Sharjah,US,DEV705405,0,0
T0004735,05-03-2025 05:58,C00836,126.9,POS,Healthcare,Web,Abu Dhabi,AE,DEV181966,0,0
T0000485,05-03-2025 05:59,C00158,94.71,POS,Education,Web,Abu Dhabi,AE,DEV690434,0,0
T0001525,05-03-2025 06:17,C00308,1503.79,POS,Utilities,Web,Sharjah,AE,DEV958053,0,0
T0005463,05-03-2025 06:21,C00212,187.57,TRANSFER_OUT,Education,Mobile,Abu Dhabi,AE,DEV678434,0,0
T0003889,05-03-2025 06:42,C00847,285.39,POS,Electronics,Mobile,Abu Dhabi,AE,DEV210799,0,0
T0005562,05-03-2025 07:18,C00756,63.5,POS,Healthcare,Branch,Dubai,AE,DEV900589,0,0
T0005780,05-03-2025 07:28,C00409,128.97,POS,Grocery,ATM,Abu Dhabi,AE,DEV714601,0,0
T0003614,05-03-2025 07:51,C00512,75.04,POS,Restaurants,Mobile,Dubai,AE,DEV960761,0,0
T0004000,05-03-2025 08:02,C00394,359.29,ONLINE,Travel,ATM,Dubai,AE,DEV189689,0,0
T0003282,05-03-2025 10:25,C00321,223.33,ATM,Healthcare,Web,Dubai,AE,DEV796422,0,0
T0003490,05-03-2025 10:30,C00652,257.38,ATM,Restaurants,Web,Abu Dhabi,AE,DEV585110,0,0
T0008799,05-03-2025 10:41,C00864,142.85,ONLINE,Entertainment,POS,Fujairah,AE,DEV746355,0,0
T0001621,05-03-2025 10:45,C00131,311.13,ONLINE,Education,Web,Dubai,AE,DEV461853,0,0
T0002965,05-03-2025 11:14,C00624,47.94,POS,Entertainment,Mobile,Dubai,AE,DEV156851,0,0
T0002684,05-03-2025 11:23,C00752,945.31,TRANSFER_IN,Travel,Web,Abu Dhabi,AE,DEV325362,0,0
T0006684,05-03-2025 11:41,C00432,146.01,ONLINE,Fashion,Web,Dubai,AE,DEV670131,0,0
T0004307,05-03-2025 11:48,C00568,294.75,ONLINE,Fuel,Mobile,Abu Dhabi,AE,DEV438692,0,0
T0006541,05-03-2025 12:05,C00267,254.61,POS,Travel,Mobile,Sharjah,AE,DEV185527,0,0
T0008452,05-03-2025 12:56,C00296,232.44,POS,Education,ATM,Sharjah,AE,DEV584279,0,0
T0007294,05-03-2025 14:07,C00155,224.16,TRANSFER_IN,Entertainment,Web,Dubai,AE,DEV988504,0,0
T0006932,05-03-2025 14:11,C00454,193.05,POS,Fashion,POS,Abu Dhabi,AE,DEV473108,0,0
T0005282,05-03-2025 14:25,C00257,222.73,ONLINE,Education,ATM,Sharjah,AE,DEV966309,0,0
T0001226,05-03-2025 14:58,C00917,708.54,ATM,Education,Mobile,Umm Al Quwain,AE,DEV195948,0,0
T0000949,05-03-2025 15:09,C00091,108.47,TRANSFER_IN,Fuel,ATM,Dubai,OM,DEV671288,0,0
T0001393,05-03-2025 15:38,C00847,64.49,POS,Restaurants,Mobile,Abu Dhabi,AE,DEV674297,0,1
T0009486,05-03-2025 16:24,C00949,394.57,TRANSFER_IN,Fashion,Mobile,Sharjah,AE,DEV757177,0,0
T0006520,05-03-2025 17:54,C00330,175.9,TRANSFER_IN,Utilities,Web,Abu Dhabi,AE,DEV192593,0,0
T0006874,05-03-2025 18:54,C00451,613.56,ONLINE,Utilities,Branch,Abu Dhabi,AE,DEV666284,0,0
T0008853,05-03-2025 19:18,C00798,113.86,TRANSFER_IN,Travel,Web,Dubai,AE,DEV582271,0,0
T0000084,05-03-2025 20:03,C00606,1492.64,ONLINE,Grocery,Mobile,Dubai,AE,DEV747036,0,1
T0003611,05-03-2025 21:44,C00300,743.49,POS,Travel,Web,Abu Dhabi,AE,DEV961880,0,0
T0008679,05-03-2025 21:52,C00298,274.14,BILL_PAYMENT,Education,Web,Abu Dhabi,AE,DEV530740,0,0
T0001706,05-03-2025 21:56,C00276,221.45,POS,Travel,Mobile,Dubai,AE,DEV857323,0,0
T0009656,05-03-2025 22:35,C00344,1578.21,TRANSFER_OUT,Travel,Web,Dubai,AE,DEV392804,0,0
T0008505,05-03-2025 22:48,C00125,392.48,TRANSFER_IN,Utilities,Web,Abu Dhabi,AE,DEV407090,0,1
T0005240,05-03-2025 23:02,C00010,55.76,TRANSFER_IN,Entertainment,Mobile,Sharjah,AE,DEV341750,0,0
T0000222,06-03-2025 00:41,C00046,465,POS,Fashion,Web,Ajman,IN,DEV574327,0,0
T0009251,06-03-2025 01:01,C00010,1195.12,ATM,Healthcare,Mobile,Sharjah,AE,DEV769432,0,1
T0005938,06-03-2025 02:04,C00104,439.26,POS,Utilities,Web,Dubai,AE,DEV470756,0,0
T0002331,06-03-2025 02:08,C00617,389.27,TRANSFER_OUT,Education,Web,Umm Al Quwain,AE,DEV352900,0,0
T0004710,06-03-2025 02:34,C00739,565.59,ONLINE,Education,POS,Sharjah,AE,DEV776375,0,0
T0004306,06-03-2025 02:36,C00561,1084.66,POS,Restaurants,Mobile,Abu Dhabi,AE,DEV793618,0,0
T0006069,06-03-2025 03:04,C00917,172.24,ATM,Travel,Mobile,Ajman,AE,DEV157122,0,0
T0007808,06-03-2025 03:37,C00419,313.37,POS,Electronics,Web,Abu Dhabi,AE,DEV624447,0,0
T0005772,06-03-2025 03:51,C00966,347.11,ATM,Grocery,Web,Ras Al Khaimah,AE,DEV527922,0,0
T0007247,06-03-2025 05:41,C00647,298.17,POS,Entertainment,Web,Dubai,AE,DEV240301,0,0
T0007210,06-03-2025 05:52,C00765,250.68,POS,Education,Mobile,Dubai,AE,DEV338753,0,0
T0003534,06-03-2025 06:28,C00028,520.14,ATM,Entertainment,Web,Al Ain,AE,DEV116672,0,0
T0006576,06-03-2025 06:29,C00103,503.41,BILL_PAYMENT,Utilities,POS,Abu Dhabi,AE,DEV601688,0,0
T0007786,06-03-2025 07:28,C00260,211.82,POS,Education,ATM,Dubai,AE,DEV493599,0,0
